src dest path
0 1 0,1
0 2 0,1,2
0 3 0,1,2,3
0 4 0,1,2,3,4
0 5 0,1,2,3,4,5
0 6 0,1,2,3,4,5,6
0 7 0,1,2,3,4,5,6,7
0 8 0,1,2,3,4,5,6,7,8
0 9 0,1,2,3,4,5,6,7,8,9
0 10 0,1,2,3,4,5,6,7,8,9,10
0 11 0,1,2,3,4,5,6,7,8,9,10,11
0 12 0,1,2,3,4,5,6,7,8,9,10,11,12
0 13 0,1,2,3,4,5,6,7,8,9,10,11,12,13
0 14 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0 15 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0 16 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0 17 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0 18 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0 19 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0 20 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0 21 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0 22 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0 23 0,1,2,3,4,5,6,7,8,9,101,102,103,104,105,106,107,23
0 24 0,1,2,3,4,5,6,7,8,26,25,24
0 25 0,1,2,3,4,5,6,7,8,26,25
0 26 0,1,2,3,4,5,6,7,8,26
0 27 0,1,2,3,4,5,6,7,8,27
0 28 0,1,2,3,4,5,6,7,8,27,28
0 29 0,1,2,3,4,5,6,7,8,27,28,29
0 30 0,1,2,3,4,5,6,7,8,27,28,29,30
0 31 0,1,2,3,4,5,6,7,8,9,72,100,31
0 32 0,1,2,3,4,5,6,7,8,9,10,64,32
0 33 0,1,2,3,4,5,6,7,8,9,10,64,32,33
0 34 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34
0 35 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35
0 36 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36
0 37 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37
0 38 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38
0 39 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39
0 40 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40
0 41 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41
0 42 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42
0 43 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43
0 44 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,44
0 45 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45
0 46 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46
0 47 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47
0 48 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48
0 49 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49
0 50 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50
0 51 0,1,2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,53,52,51
0 52 0,1,2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,53,52
0 53 0,1,2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,53
0 54 0,1,2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,53,54
0 55 0,1,2,3,4,5,6,7,8,27,28,60,59,58,57,56,55
0 56 0,1,2,3,4,5,6,7,8,27,28,60,59,58,57,56
0 57 0,1,2,3,4,5,6,7,8,27,28,60,59,58,57
0 58 0,1,2,3,4,5,6,7,8,27,28,60,59,58
0 59 0,1,2,3,4,5,6,7,8,27,28,60,59
0 60 0,1,2,3,4,5,6,7,8,27,28,60
0 61 0,1,2,3,4,5,6,7,8,27,28,29,61
0 62 0,1,2,3,4,5,6,7,8,9,72,100,31,62
0 63 0,1,2,3,4,5,6,7,8,9,10,64,32,63
0 64 0,1,2,3,4,5,6,7,8,9,10,64
0 65 0,1,2,3,4,5,6,7,8,9,10,65
0 66 0,1,2,3,4,5,6,7,8,9,10,65,66
0 67 0,1,2,3,4,5,6,7,8,9,10,65,66,67
0 68 0,1,2,3,4,5,6,7,8,27,28,60,71,70,69,68
0 69 0,1,2,3,4,5,6,7,8,27,28,60,71,70,69
0 70 0,1,2,3,4,5,6,7,8,27,28,60,71,70
0 71 0,1,2,3,4,5,6,7,8,27,28,60,71
0 72 0,1,2,3,4,5,6,7,8,9,72
0 73 0,1,2,3,4,5,6,7,8,9,10,64,73
0 74 0,1,2,3,4,5,6,7,8,9,10,64,73,74
0 75 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75
0 76 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76
0 77 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77
0 78 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78
0 79 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79
0 80 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80
0 81 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,81
0 82 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,81,82
0 83 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,81,82,83
0 84 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,81,82,83,84
0 85 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,85
0 86 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,85,86
0 87 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,85,86,87
0 88 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,85,86,87,88
0 89 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,85,86,87,88,89
0 90 0,1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94,93,92,91,90
0 91 0,1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94,93,92,91
0 92 0,1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94,93,92
0 93 0,1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94,93
0 94 0,1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94
0 95 0,1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95
0 96 0,1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96
0 97 0,1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97
0 98 0,1,2,3,4,5,6,7,8,9,72,100,31,62,99,98
0 99 0,1,2,3,4,5,6,7,8,9,72,100,31,62,99
0 100 0,1,2,3,4,5,6,7,8,9,72,100
0 101 0,1,2,3,4,5,6,7,8,9,101
0 102 0,1,2,3,4,5,6,7,8,9,101,102
0 103 0,1,2,3,4,5,6,7,8,9,101,102,103
0 104 0,1,2,3,4,5,6,7,8,9,101,102,103,104
0 105 0,1,2,3,4,5,6,7,8,9,101,102,103,104,105
0 106 0,1,2,3,4,5,6,7,8,9,101,102,103,104,105,106
0 107 0,1,2,3,4,5,6,7,8,9,101,102,103,104,105,106,107
0 108 0,1,2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,108
0 109 0,1,2,3,4,5,6,7,8,27,28,60,71,70,69,110,109
0 110 0,1,2,3,4,5,6,7,8,27,28,60,71,70,69,110
0 111 0,1,2,3,4,5,6,7,8,27,28,60,71,70,69,111
0 112 0,1,2,3,4,5,6,7,8,27,28,60,71,70,69,111,112
0 113 0,1,2,3,4,5,6,7,8,27,28,60,71,70,69,111,112,113
0 114 0,1,2,3,4,5,6,7,8,27,28,60,71,70,69,111,112,113,114
0 115 0,1,2,3,4,5,6,7,8,27,28,60,71,70,69,111,112,113,114,115
0 116 0,1,2,3,4,5,6,7,8,27,28,60,71,70,69,111,112,113,114,115,116
0 117 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,117
0 118 0,1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,117,118
1 2 1,2
1 3 1,2,3
1 4 1,2,3,4
1 5 1,2,3,4,5
1 6 1,2,3,4,5,6
1 7 1,2,3,4,5,6,7
1 8 1,2,3,4,5,6,7,8
1 9 1,2,3,4,5,6,7,8,9
1 10 1,2,3,4,5,6,7,8,9,10
1 11 1,2,3,4,5,6,7,8,9,10,11
1 12 1,2,3,4,5,6,7,8,9,10,11,12
1 13 1,2,3,4,5,6,7,8,9,10,11,12,13
1 14 1,2,3,4,5,6,7,8,9,10,11,12,13,14
1 15 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1 16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1 17 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1 18 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 19 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1 20 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1 21 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1 22 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1 23 1,2,3,4,5,6,7,8,9,101,102,103,104,105,106,107,23
1 24 1,2,3,4,5,6,7,8,26,25,24
1 25 1,2,3,4,5,6,7,8,26,25
1 26 1,2,3,4,5,6,7,8,26
1 27 1,2,3,4,5,6,7,8,27
1 28 1,2,3,4,5,6,7,8,27,28
1 29 1,2,3,4,5,6,7,8,27,28,29
1 30 1,2,3,4,5,6,7,8,27,28,29,30
1 31 1,2,3,4,5,6,7,8,9,72,100,31
1 32 1,2,3,4,5,6,7,8,9,10,64,32
1 33 1,2,3,4,5,6,7,8,9,10,64,32,33
1 34 1,2,3,4,5,6,7,8,9,10,64,32,33,34
1 35 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35
1 36 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36
1 37 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37
1 38 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38
1 39 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39
1 40 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40
1 41 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41
1 42 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42
1 43 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43
1 44 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,44
1 45 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45
1 46 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46
1 47 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47
1 48 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48
1 49 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49
1 50 1,2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50
1 51 1,2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,53,52,51
1 52 1,2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,53,52
1 53 1,2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,53
1 54 1,2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,53,54
1 55 1,2,3,4,5,6,7,8,27,28,60,59,58,57,56,55
1 56 1,2,3,4,5,6,7,8,27,28,60,59,58,57,56
1 57 1,2,3,4,5,6,7,8,27,28,60,59,58,57
1 58 1,2,3,4,5,6,7,8,27,28,60,59,58
1 59 1,2,3,4,5,6,7,8,27,28,60,59
1 60 1,2,3,4,5,6,7,8,27,28,60
1 61 1,2,3,4,5,6,7,8,27,28,29,61
1 62 1,2,3,4,5,6,7,8,9,72,100,31,62
1 63 1,2,3,4,5,6,7,8,9,10,64,32,63
1 64 1,2,3,4,5,6,7,8,9,10,64
1 65 1,2,3,4,5,6,7,8,9,10,65
1 66 1,2,3,4,5,6,7,8,9,10,65,66
1 67 1,2,3,4,5,6,7,8,9,10,65,66,67
1 68 1,2,3,4,5,6,7,8,27,28,60,71,70,69,68
1 69 1,2,3,4,5,6,7,8,27,28,60,71,70,69
1 70 1,2,3,4,5,6,7,8,27,28,60,71,70
1 71 1,2,3,4,5,6,7,8,27,28,60,71
1 72 1,2,3,4,5,6,7,8,9,72
1 73 1,2,3,4,5,6,7,8,9,10,64,73
1 74 1,2,3,4,5,6,7,8,9,10,64,73,74
1 75 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75
1 76 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76
1 77 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77
1 78 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78
1 79 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79
1 80 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80
1 81 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,81
1 82 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,81,82
1 83 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,81,82,83
1 84 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,81,82,83,84
1 85 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,85
1 86 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,85,86
1 87 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,85,86,87
1 88 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,85,86,87,88
1 89 1,2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,85,86,87,88,89
1 90 1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94,93,92,91,90
1 91 1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94,93,92,91
1 92 1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94,93,92
1 93 1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94,93
1 94 1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94
1 95 1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95
1 96 1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96
1 97 1,2,3,4,5,6,7,8,9,72,100,31,62,99,98,97
1 98 1,2,3,4,5,6,7,8,9,72,100,31,62,99,98
1 99 1,2,3,4,5,6,7,8,9,72,100,31,62,99
1 100 1,2,3,4,5,6,7,8,9,72,100
1 101 1,2,3,4,5,6,7,8,9,101
1 102 1,2,3,4,5,6,7,8,9,101,102
1 103 1,2,3,4,5,6,7,8,9,101,102,103
1 104 1,2,3,4,5,6,7,8,9,101,102,103,104
1 105 1,2,3,4,5,6,7,8,9,101,102,103,104,105
1 106 1,2,3,4,5,6,7,8,9,101,102,103,104,105,106
1 107 1,2,3,4,5,6,7,8,9,101,102,103,104,105,106,107
1 108 1,2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,108
1 109 1,2,3,4,5,6,7,8,27,28,60,71,70,69,110,109
1 110 1,2,3,4,5,6,7,8,27,28,60,71,70,69,110
1 111 1,2,3,4,5,6,7,8,27,28,60,71,70,69,111
