"2017-04-02","石牌",23066,23757
"2017-04-02","先嗇宮",2192,2049
"2017-04-02","江子翠",18755,18665
"2017-04-02","竹圍",8560,8217
"2017-04-02","行天宮",16778,17112
"2017-04-02","西門",76781,78975
"2017-04-02","西湖",4560,4634
"2017-04-02","辛亥",2599,2517
"2017-04-02","亞東醫院",13231,11818
"2017-04-02","奇岩",6449,5356
"2017-04-02","府中",25632,23759
"2017-04-02","忠孝復興",42939,44069
"2017-04-02","忠孝敦化",29246,30578
"2017-04-02","忠孝新生",27087,27021
"2017-04-02","忠義",2009,1967
"2017-04-02","昆陽",8273,8377
"2017-04-02","明德",7914,7559
"2017-04-02","東門",21858,21436
"2017-04-02","東湖",5866,6064
"2017-04-02","松山",20048,18471
"2017-04-02","松山機場",4561,4683
"2017-04-02","松江南京",16284,17120
"2017-04-02","芝山",18697,18646
"2017-04-02","信義安和",10903,11163
"2017-04-02","南京三民",13329,13729
"2017-04-02","南京復興",16959,18032
"2017-04-02","南港",13084,13164
"2017-04-02","南港展覽館",18390,16806
"2017-04-02","南港軟體園區",2165,2100
"2017-04-02","南勢角",18025,17441
"2017-04-02","後山埤",12998,13063
"2017-04-02","科技大樓",8430,8106
"2017-04-02","紅樹林",9296,9779
"2017-04-02","徐匯中學",9803,9639
"2017-04-02","海山",16772,16537
"2017-04-02","迴龍",7690,7347
"2017-04-02","動物園",23497,24519
"2017-04-02","唭哩岸",5734,5400
"2017-04-02","國父紀念館",16558,18460
"2017-04-02","淡水",61620,57912
"2017-04-02","頂埔",6450,6118
"2017-04-02","頂溪",28844,28146
"2017-04-02","善導寺",13199,13763
"2017-04-02","復興崗",2944,2926
"2017-04-02","景安",18982,17979
"2017-04-02","景美",13084,12603
"2017-04-02","港墘",5484,5196
"2017-04-02","菜寮",6760,6438
"2017-04-02","象山",10417,10292
"2017-04-02","圓山",33520,33879
"2017-04-02","新北投",12658,12816
"2017-04-02","新店",15138,14256
"2017-04-02","新店區公所",8930,9033
"2017-04-02","新埔",28934,26842
"2017-04-02","新莊",9499,10233
"2017-04-02","萬芳社區",2515,2085
"2017-04-02","萬芳醫院",8071,8228
"2017-04-02","萬隆",7655,7026
"2017-04-02","葫洲",5116,4796
"2017-04-02","輔大",6269,6453
"2017-04-02","劍南路",11279,11530
"2017-04-02","劍潭",43944,42088
"2017-04-02","頭前庄",3911,3551
"2017-04-02","龍山寺",28768,27523
"2017-04-02","雙連",15538,15944
"2017-04-02","關渡",8862,9181
"2017-04-02","蘆洲",10326,9559
"2017-04-02","麟光",6991,6871
"2017-04-03","BL板橋",36033,36099
"2017-04-03","七張",11849,11597
